"model","elpd_loo","p_loo","looic","estimate_(Intercept)","conf.low_(Intercept)","conf.high_(Intercept)","estimate_DO","conf.low_DO","conf.high_DO","estimate_polyDO21","estimate_polyDO22","conf.low_polyDO21","conf.low_polyDO22","conf.high_polyDO21","conf.high_polyDO22","estimate_polyDO31","estimate_polyDO32","estimate_polyDO33","conf.low_polyDO31","conf.low_polyDO32","conf.low_polyDO33","conf.high_polyDO31","conf.high_polyDO32","conf.high_polyDO33","r2","r2_error","r2_q2.5","r2_q97.5","id","model_type"
"a_0_24nov_4_lm_3",51.8124684384182,5.09273894373005,-103.624936876836,0.15277537374242,0.133608476304244,0.172004935563684,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268259055788238,-0.0762315319626594,-0.267727278996685,0.139788466942015,-0.207250732119578,-0.394585925363498,0.399617138445717,0.0498817233241621,-0.135776965329866,0.494900614349414,0.0794844600543654,0.308318486504516,0.617146619699474,"a_0_24nov_4","lm_3"
"a_0_25nov_1_lm_0",52.9854087960136,1.49637604048883,-105.970817592027,0.0819532888802825,0.0656500189190589,0.0984542663162197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_0_25nov_1","lm_0"
"a_0_25nov_1_lm_1",63.6247043071714,4.08605682400129,-127.249408614343,0.0285728619326484,0.00758211039270592,0.0490156783740923,0.000880736341920367,0.000580769488114813,0.00117292146163728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536606987061465,0.087834846471835,0.320058144142904,0.658398147356331,"a_0_25nov_1","lm_1"
"a_0_25nov_1_lm_2",61.6076715129651,6.27075629291547,-123.21534302593,0.0821600088886502,0.0711247033255736,0.0932044427802164,NA,NA,NA,0.183280897912503,0.00338802499054627,0.119876422368078,-0.0611171284970211,0.244540224790596,0.0649006118140271,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535491303166984,0.0862559987827194,0.322520571377632,0.655725747477623,"a_0_25nov_1","lm_2"
"a_0_25nov_1_lm_3",59.216172041932,8.50245599869203,-118.432344083864,0.0823374834629167,0.0707929069581167,0.0933967167364965,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182512780800583,0.00310389842003029,0.015221601168372,0.117122078444973,-0.0627937151855162,-0.0516094965138035,0.249387174353398,0.0687087084024012,0.0808037957332594,0.534527257591523,0.0876974581542691,0.324706875803702,0.659538861941962,"a_0_25nov_1","lm_3"
"a_0_25nov_4_lm_0",47.7958329889921,2.93525969652749,-95.5916659779843,0.106241854048455,0.0855317899450344,0.125843036304579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_0_25nov_4","lm_0"
"a_0_25nov_4_lm_1",51.8965705710514,4.21098650133414,-103.793141142103,0.056796341061073,0.0220297217456248,0.0908077585654169,0.000846583123318328,0.000345978833835609,0.00135627646540505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253055591092677,0.102620325715731,0.0489806592017066,0.441309323409583,"a_0_25nov_4","lm_1"
"a_0_25nov_4_lm_2",50.6757639906435,5.16922757538467,-101.351527981287,0.106308533910801,0.0879709053063421,0.125216509679164,NA,NA,NA,0.182092087749948,0.0150413163050244,0.0718872943955625,-0.0984366889264178,0.290831150554394,0.125900111689587,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268376209064284,0.099758311845836,0.0637547606535381,0.447088097018229,"a_0_25nov_4","lm_2"
"a_0_25nov_4_lm_3",50.1939455520347,5.30509517257898,-100.387891104069,0.106576337382224,0.0875998079686544,0.125657797339971,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180861388429514,0.015456323552078,0.0300050202077254,0.0716426510245196,-0.0979070256867228,-0.08435546796755,0.292042105081414,0.130043429106855,0.140324782691382,0.281852306669657,0.096690811473546,0.0888544573689494,0.45556852031995,"a_0_25nov_4","lm_3"
"a_0_26nov_1_lm_0",22.3102868984917,1.47218959677046,-44.6205737969835,0.233557685620159,0.193193492974402,0.274124343843014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_0_26nov_1","lm_0"
"a_0_26nov_1_lm_1",21.6524684656988,2.54298603553463,-43.3049369313975,0.188589127320364,0.0889561155379082,0.289523612829629,0.000666495659756698,-0.000709761039440157,0.00207007402693736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0691134418020076,0.0721880001672742,0.000111710899544668,0.257959579422937,"a_0_26nov_1","lm_1"
"a_0_26nov_1_lm_2",26.1945476480507,3.15548027548609,-52.3890952961014,0.23360749439328,0.199256860148468,0.266122903020997,NA,NA,NA,0.102214447229203,-0.289004095440579,-0.0763066744300874,-0.468100606064137,0.271102731893592,-0.111623235818187,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351594094009893,0.116305096450183,0.0923807986931493,0.53758561188204,"a_0_26nov_1","lm_2"
"a_0_26nov_1_lm_3",25.9924991141479,3.57127064950233,-51.9849982282958,0.233266436154613,0.200218248416661,0.266909369090836,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101608409772587,-0.290851185625458,-0.0907286393291772,-0.065226961548106,-0.466513957287391,-0.273196815243715,0.276037534557143,-0.1202973242446,0.0836597484818712,0.38777673533756,0.108641545075537,0.14038714052029,0.560933604286241,"a_0_26nov_1","lm_3"
"a_0_26nov_4_lm_0",19.2704151308127,1.33109889951384,-38.5408302616253,0.316332064679019,0.268458457710749,0.361536933634271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_0_26nov_4","lm_0"
"a_0_26nov_4_lm_1",35.2656715794214,3.52891649239082,-70.5313431588428,0.120193641852389,0.0632272689867507,0.178858488154294,0.00318138053443117,0.00233927589053941,0.0040100655246437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683418093606078,0.0635320163151066,0.518778661241337,0.760408059570671,"a_0_26nov_4","lm_1"
"a_0_26nov_4_lm_2",36.031639095336,4.69457395563505,-72.0632781906719,0.31620871503387,0.29138095611013,0.340388906707856,NA,NA,NA,0.547345432967215,-0.128391295232472,0.412384263810791,-0.258538149641646,0.680799477776044,0.00772612942527722,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71706829112797,0.0555930067133429,0.575794683474259,0.783166098336094,"a_0_26nov_4","lm_2"
"a_0_26nov_4_lm_3",34.6079205492625,5.79044391956885,-69.215841098525,0.316761099398681,0.291039951243893,0.342020470805785,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548736089798223,-0.127693726986172,0.00300351719112706,0.406885044521401,-0.266138086003427,-0.134606168026678,0.68389349889421,0.0112411624134433,0.139275820810732,0.711846536581291,0.0592492668110723,0.561607577638836,0.781465781699059,"a_0_26nov_4","lm_3"
"a_0_27nov_4_lm_0",46.3179471827953,3.01080416481913,-92.6358943655905,0.134819659587597,0.119343328441795,0.149463349373142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_0_27nov_4","lm_0"
